finding,severity,target,remediation,tools_used,cvss,signature,novel
Unsigned JWT alg=none Accepted for Administrator Authorization,critical,OWASP Juice Shop JWT middleware on 10.10.0.20:3000,"Upgrade JWT libraries and configure verification to allow only the expected asymmetric algorithm, rejecting alg=none and unsigned tokens.",,9.1,"T1190, T1606",no
JWT RS256-to-HS256 Algorithm Confusion Using Exposed Public Key,critical,OWASP Juice Shop JWT middleware on 10.10.0.20:3000,"Pin JWT verification to RS256, reject symmetric algorithms for RSA-key tokens, rotate keys, and remove unnecessary public key exposure.",,9.1,"T1190, T1606",no
Broken Object Level Authorization Allows Customer to Read Admin User Record,high,OWASP Juice Shop REST API on 10.10.0.20:3000,Add per-object authorization checks so non-admin users can only access their own user record and redact sensitive fields.,,8.1,"T1190, T1530",no
Registration mass assignment permits arbitrary role selection,high,OWASP Juice Shop on 10.10.0.20:3000 REST API,Use DTO/field allowlisting during registration and set role/privilege fields exclusively server-side.,,8.8,"T1190, T1068",no
JWT session tokens expose sensitive account fields and never expire,medium,OWASP Juice Shop on 10.10.0.20:3000 authentication/session layer,"Minimize JWT claims to subject/role/session identifiers, add short exp/nbf/aud/iss claims, and keep secrets server-side only.",,6.5,"T1552, T1528",no
SQL Injection Authentication Bypass in Juice Shop Login,critical,OWASP Juice Shop on 10.10.0.20:3000,Replace concatenated SQL in login with parameterized ORM queries/prepared statements and verify passwords server-side before issuing tokens.,,9.8,"T1190, T1078",no
JWT Algorithm Confusion Allows Forged Admin Tokens,critical,OWASP Juice Shop JWT-protected API on 10.10.0.20:3000,"Pin accepted JWT algorithms to RS256, reject alg=none, never use asymmetric public keys as HMAC secrets, rotate keys, and upgrade express-jwt/jsonwebtoken.",,9.8,CVE-2015-9235,no
Unauthenticated Exposure of Premium Membership Secret,high,OWASP Juice Shop static encryption key endpoint on 10.10.0.20:3000,"Remove encryption keys from public web paths, rotate the premium key, and store secrets in a server-side secret manager.",,7.5,"T1552.001, T1190",no
JWT alg=none signature bypass accepted for admin tokens,critical,OWASP Juice Shop 20.0.0 on Express/Node.js JWT authentication:3000,"Pin accepted JWT algorithms to RS256, require a valid signature, and reject alg=none tokens in all authentication middleware.",,9.8,"T1190, T1606",no
JWT RS256-to-HS256 algorithm confusion using exposed RSA public key,critical,OWASP Juice Shop 20.0.0 on Express/Node.js JWT authentication:3000,Pin JWT verification to RS256 only and prevent HS* algorithms from using RSA public key material as an HMAC secret.,,9.8,"T1190, T1606",no
Server-issued JWTs have no expiration claim,medium,OWASP Juice Shop 20.0.0 on Express/Node.js JWT authentication:3000,"Add short-lived exp claims to all access tokens and enforce expiration, issuer, and audience during verification.",,6.5,"T1550, T1606",no
Cryptographic premium membership key exposed over HTTP,medium,OWASP Juice Shop 20.0.0 static encryption key distribution:3000,Remove secret key material from the web root and rotate the exposed premium key immediately.,,6.5,T1552.001,no
JWT signature verification bypass via alg=none and RS256-to-HS256 confusion,critical,OWASP Juice Shop / Node.js express-jwt JWT authorization:3000,"Pin the JWT algorithm to RS256 only, reject alg=none, segregate RSA and HMAC key handling, rotate tokens, and upgrade legacy JWT middleware.",,9.8,"T1606, T1190",no
Server-issued JWTs expose sensitive account data and omit expiry,high,OWASP Juice Shop JWT authentication:3000,Issue short-lived JWTs containing only minimal non-sensitive claims; store sensitive attributes server-side and enforce token expiration/revocation.,,8.1,"T1552, T1528",no
Public /encryptionkeys directory exposes JWT public key and premium key secret,high,OWASP Juice Shop static file serving:3000,"Remove key material from the web root, disable directory indexing, restrict static file serving, and rotate exposed secrets/tokens.",,8.2,"T1552.001, T1190",no
SQL Injection Authentication Bypass Mints Admin JWT,critical,OWASP Juice Shop on 10.10.0.20:3000,"Parameterize the login query, validate email syntax, and add regression tests for SQL metacharacters in authentication fields.",,9.8,"T1190, T1550.001",no
Unsigned alg=none JWT Accepted for Administrator Authorization,critical,OWASP Juice Shop on 10.10.0.20:3000,"Disable alg=none, pin the expected JWT algorithm server-side, and reject unsigned tokens regardless of header claims.",,9.8,"T1550.001, T1190",no
JWT RS256-to-HS256 Algorithm Confusion Using Exposed Public Key,critical,OWASP Juice Shop on 10.10.0.20:3000,"Pin RS256 verification, reject HS256 for RSA-backed tokens, and avoid exposing verification keys unless all JWT libraries are configured safely.",,9.8,"T1550.001, T1190",no
Product Search SQL Injection Discloses Product Table Data,high,OWASP Juice Shop on 10.10.0.20:3000,Use parameterized queries/ORM bind variables for product search and add SQLi regression tests for q.,,8.6,T1190,no
Basket IDOR Allows Cross-Account Basket Read,high,OWASP Juice Shop on 10.10.0.20:3000,Enforce object ownership checks on /rest/basket/{id}; derive basket ID from the authenticated user where possible instead of trusting path parameters.,,8.1,"T1190, T1087",no
Unauthenticated Security Question Endpoint Enables Account Enumeration and Recovery Question Disclosure,medium,OWASP Juice Shop v14.5.1 password recovery API:3000,"Return generic responses for recovery lookups, rate-limit attempts, and require an out-of-band recovery flow before revealing any challenge.",,5.3,"T1589.002, T1110",no
Inactive Accounts Can Authenticate and Use Protected APIs,high,OWASP Juice Shop v14.5.1 user authentication and /api/Users:3000,Reject inactive/deleted users during login and re-check current user status in authorization middleware for every request.,,7.5,"T1078, T1550",no
FTP Null-Byte Extension Filter Bypass Exposes package.json.bak,medium,OWASP Juice Shop v14.5.1 static FTP file handler:3000,"Normalize and decode paths once, reject null bytes/encoded nulls, and enforce extension allowlists on the canonical basename before serving files.",,6.5,"T1083, T1592.002",no
Password change accepts wrong current password via parameter confusion,high,OWASP Juice Shop on 10.10.0.20:3000 account management,"Use one canonical current-password parameter, verify it server-side before any update, reject query-string password changes, and invalidate sessions after password reset.",,8.1,"T1078, T1539",no
Unauthenticated ChromaDB API exposes collection metadata and documents,high,ChromaDB 0.5.18 / uvicorn API:8001,"Restrict ChromaDB to trusted networks, add authentication/authorization at the service or reverse proxy, and rotate any exposed sensitive data.",,8.6,"T1213, T1530",no
JWT alg=none authentication bypass from vulnerable express-jwt/Juice Shop advisory,critical,OWASP Juice Shop on Express / express-jwt 0.1.3,"Pin accepted JWT algorithms to RS256, reject alg=none, and upgrade express-jwt/jsonwebtoken to patched versions.",,9.1,CVE-2020-15084,no
Publicly exposed cryptographic/payment key material,high,OWASP Juice Shop static /encryptionkeys route:3000,"Remove public static access to key material, rotate premium/JWT secrets, and store secrets in a server-side secret manager.",,8.1,"T1552.001, T1190",no
SQL Injection Authentication Bypass in Login,critical,OWASP Juice Shop 20.0.0 / Express login API:3000,Use parameterized queries/ORM predicates for authentication and reject SQL metacharacter payloads at validation boundaries.,,9.8,"T1190, T1059",no
JWT alg=none Admin Token Forgery,critical,OWASP Juice Shop 20.0.0 / Express JWT authentication:3000,Pin accepted JWT algorithms server-side and reject unsigned tokens regardless of token header value.,,9.8,"T1606, T1190",no
JWT HS/RS Algorithm Confusion via Exposed RSA Public Key,critical,OWASP Juice Shop 20.0.0 / Express JWT authentication:3000,"Pin RS256 only, use separate verification paths for asymmetric and symmetric keys, and remove public key material from web-exposed paths where not explicitly required.",,9.8,"T1606, T1552.001",no
Server-Issued JWTs Have No Expiration,high,OWASP Juice Shop 20.0.0 / JWT session management:3000,"Add short exp/nbf claims, enforce them during verification, and rotate signing keys after compromise.",,8.1,"T1528, T1550.001",no
Mass Assignment Allows Self-Registration as Admin,critical,OWASP Juice Shop 20.0.0 / User registration API:3000,Whitelist assignable registration fields and set role server-side to the least-privileged default.,,9.1,"T1190, T1068",no
Authenticated IDOR/BOLA on User Object Endpoint,high,OWASP Juice Shop 20.0.0 / User API:3000,Enforce per-object authorization: only the subject user or an authorized admin role may access a user object.,,8.1,"T1190, T1087",no
Unauthenticated Account Recovery Question Disclosure and Account Enumeration,medium,OWASP Juice Shop 20.0.0 / Account recovery API:3000,"Return uniform responses for recovery initiation, require anti-automation controls, and disclose recovery prompts only after verified user interaction.",,6.5,"T1589.003, T1087",no
Unauthenticated Administrative Application Configuration Disclosure,medium,OWASP Juice Shop 20.0.0 / Admin configuration API:3000,Require admin authorization for configuration endpoints and redact deployment-sensitive settings.,,6.5,"T1592.002, T1190",no
Unauthenticated Exposure of Premium HMAC Key,high,OWASP Juice Shop 20.0.0 / encryptionkeys static artifact exposure:3000,"Remove encryption key directories from web routing, rotate exposed keys, and store secrets in a protected secret manager or environment variable.",,8.6,"T1552.001, T1580",no
Unauthenticated ChromaDB API exposes internal collection contents,high,ChromaDB 0.5.18 / FastAPI Uvicorn:8001,"Require ChromaDB authentication, restrict 8001 to trusted management hosts, and disable public OpenAPI/docs exposure.",,8.1,"T1590, T1213, T1083",no
Login endpoint lacks rate limiting or account lockout,medium,OWASP Juice Shop on 10.10.0.20:3000 authentication layer,"Enforce per-account and per-source rate limits, exponential backoff, alerting, and temporary lockout after repeated failed logins.",,6.5,T1110,no
Null-byte extension filter bypass exposes backup/source artifacts,medium,OWASP Juice Shop /ftp file server:3000,Canonicalize and fully decode filenames before extension checks; reject null bytes and remove sensitive backup files from the public FTP directory.,,6.5,"T1190, T1552.001",no
Weak custom RSA-style encryption and exposed bytecode allow encrypted announcement recovery,low,OWASP Juice Shop 20.0.0 /ftp static artifact exposure:3000,"Remove sensitive crypto implementation artifacts from public /ftp, fix the null-byte extension bypass, and replace deterministic per-character encryption with standard authenticated encryption.",,3.7,"T1552.001, T1027",no
SQL Injection Authentication Bypass in Login,critical,OWASP Juice Shop 20.0.0 / Express login API:3000,Parameterize the login query and ensure authentication failure is indistinguishable for invalid credentials.,,9.8,"T1190, T1078",no
Negative Basket Item Quantity Accepted and Persisted,high,OWASP Juice Shop v14.5.1 basket item API:3000,Enforce quantity as an integer range 1..5 server-side and recalculate checkout totals from canonical server data.,,8.1,"T1190, T1565.001",no
JWT alg=none Signature Bypass,critical,OWASP Juice Shop 20.0.0 JWT authorization middleware:3000,Pin JWT verification to RS256 and reject unsigned tokens regardless of the alg header value.,,9.8,"T1606, T1078",no
JWT RS256-to-HS256 Public-Key Confusion,critical,OWASP Juice Shop 20.0.0 JWT authorization middleware:3000,Pin accepted JWT algorithms to RS256 only and do not pass RSA public keys into code paths that accept HMAC algorithms.,,9.8,"T1606, T1078",no
Customer Token Can Dump Bulk User and Authentication Details,high,OWASP Juice Shop 20.0.0 user APIs:3000,Restrict bulk user/authentication-detail endpoints to administrator role and return only the caller’s own record to customers.,,8.1,"T1190, T1087",no
User Record BOLA/IDOR via /api/Users/{id},high,OWASP Juice Shop 20.0.0 user API:3000,Apply object-level authorization checks so customers can only access their own user id unless they are administrators.,,7.5,T1190,no
Basket BOLA/IDOR via /rest/basket/{id},high,OWASP Juice Shop 20.0.0 basket API:3000,Check that the authenticated user owns the requested basket before returning basket data.,,7.5,T1190,no
Unauthenticated Security Question Enumeration,medium,OWASP Juice Shop 20.0.0 password reset/security question API:3000,Require a verified reset step and make valid/invalid account responses indistinguishable with rate limiting.,,5.3,T1589,no
Server-Issued JWTs Lack Expiration Claim,medium,OWASP Juice Shop 20.0.0 JWT session handling:3000,"Add short-lived exp claims, validate them on every request, and support refresh-token rotation/revocation.",,6.5,T1528,no
JWT verification bypass via alg=none and RS256-to-HS256 public-key confusion,critical,OWASP Juice Shop on 10.10.0.20:3000; express-jwt 0.1.3/jsonwebtoken dependency evidence in leaked package artifacts,"Pin accepted JWT algorithms to RS256, reject alg=none, upgrade JWT middleware, and remove public access to signing/verification key material where not explicitly required.",,9.1,CVE-2020-15084,no
SQL injection authentication bypass returns admin JWT,critical,OWASP Juice Shop login API on 10.10.0.20:3000,Replace string-built SQL with parameterized queries/ORM where clauses and add input validation plus regression tests for quote/comment payloads.,,9.8,T1190,no
SQL injection in product search endpoint,high,OWASP Juice Shop product search API on 10.10.0.20:3000,Parameterize the server-side product search query and avoid concatenating q into SQL.,,8.6,T1190,no
Exposed hardcoded premium membership key enables unauthorized role upgrade,high,OWASP Juice Shop encryptionkeys/deluxe-membership APIs on 10.10.0.20:3000,Remove public access to premium.key and replace static token checks with server-side payment-provider verification bound to the authenticated user and transaction.,,8.1,"T1552, T1190",no
Unauthenticated ChromaDB allows arbitrary collection writes and vector-store tampering,high,ChromaDB 0.5.18 / uvicorn:8001,Restrict network exposure and require authentication before any ChromaDB read/write API access.,,8.1,"T1213, T1565.001",no
Unauthenticated ChromaDB write access enables vector-store poisoning,critical,ChromaDB 0.5.18 / uvicorn API:8001,"Bind ChromaDB to localhost or a trusted management network, require authentication and authorization for write endpoints, and review/remove unauthorized documents.",,9.1,"T1565.001, T1213",no
SQL Injection Authentication Bypass Mints Admin JWT,critical,OWASP Juice Shop / Node.js Express auth API:3000,Replace string-built login queries with parameterized ORM queries and verify the supplied password before issuing JWTs.,,9.8,"T1190, T1550",no
Unauthenticated Registration Mass Assignment Creates Admin Accounts,critical,OWASP Juice Shop v14.5.1 user registration API:3000,Apply server-side DTO/field allowlisting on registration and force role/customer-only defaults for all privilege-bearing fields.,,9.8,"T1190, T1068",no
Public registration mass assignment creates administrator accounts,critical,OWASP Juice Shop REST API /api/Users/:3000,Use a strict server-side allowlist for registration fields and set role/isActive/deluxeToken exclusively on the server.,,9.8,"T1190, T1136.001, T1068",no
Product search UNION SQL injection exfiltrates user records,critical,OWASP Juice Shop /rest/products/search:3000,Replace string-built search SQL with ORM/parameterized queries and apply input length/type validation.,,9.8,"T1190, T1005, T1552",no
Cross-account basket read IDOR/BOLA,high,OWASP Juice Shop /rest/basket/{id}:3000,Check that req.user owns the requested BasketId before returning basket contents.,,8.1,"T1190, T1530",no
Inactive accounts can authenticate and use protected APIs,high,OWASP Juice Shop authentication / user status checks:3000,"Check isActive=false at login and on every authenticated request, and revoke existing tokens for disabled users.",,7.5,"T1078, T1528",no
JWTs leak password hash and entitlement token and have no expiry,high,OWASP Juice Shop JWT issuance:3000,"Issue minimal, short-lived JWTs and never include password hashes, TOTP secrets, or entitlement tokens as claims.",,7.4,"T1552.001, T1528",no
Password change accepts wrong current password,high,OWASP Juice Shop /rest/user/change-password:3000,Require and verify the correct current password server-side before updating credentials; do not accept password changes through query parameters.,,8.1,"T1098, T1078",no
Negative basket quantities accepted and persisted,medium,OWASP Juice Shop /api/BasketItems/:3000,Enforce positive integer quantity bounds on create/update and recompute totals server-side.,,6.5,"T1190, T1565.001",no
Unauthenticated security-question disclosure enables account recovery targeting,medium,OWASP Juice Shop /rest/user/security-question:3000,"Do not expose security questions unauthenticated; use uniform responses, rate limiting, and out-of-band reset tokens.",,5.3,"T1589.003, T1110",no
Password Change Does Not Validate Current Password,high,OWASP Juice Shop v14.5.1 password change API:3000,"Require and verify the actual current password before changing credentials, and revoke existing tokens after password changes.",,8.1,"T1098, T1550",no
Lateral credential reuse grants admin access to peer Juice Shop host,high,OWASP Juice Shop on 10.10.0.21,"Rotate reused credentials and enforce unique, non-default admin passwords across hosts.",,8.8,"T1078, T1021",no
Unsigned JWT accepted on lateral peer Juice Shop instance,critical,OWASP Juice Shop on 10.10.0.21,Disable unsigned JWTs and enforce strict signature verification with an algorithm allowlist.,,9.1,"T1550.001, T1078",no
Internal ChromaDB API exposed without authentication via lateral topology disclosure,high,ChromaDB 0.5.18 / Uvicorn on 10.10.0.1,Restrict ChromaDB network exposure and require authentication for all collection read APIs.,,8.1,"T1087, T1213, T1046",no
JWT Verification Bypass via alg=none,critical,OWASP Juice Shop / Node.js Express JWT auth:3000,Configure JWT verification to allow only the intended asymmetric algorithm (RS256) and reject unsigned tokens.,,9.1,"T1550, T1190",no
JWT RS256-to-HS256 Algorithm Confusion with Exposed Public Key,critical,OWASP Juice Shop / Node.js Express JWT auth:3000,"Pin JWT algorithms to RS256, separate symmetric/asymmetric key material, and remove public key directory listing from the web root.",,9.1,"T1550, T1606",no
Server-Issued JWTs Expose Sensitive Account Fields and Do Not Expire,high,OWASP Juice Shop / Node.js Express JWT auth:3000,Minimize JWT claims to non-sensitive identifiers and add short expiration with refresh-token rotation.,,7.5,"T1552, T1528",no
Unauthenticated Chromium Renderer Exposes Internal Browser SSRF Primitive,high,chromium_renderer HTTP API:3301,"Require authentication on renderer APIs and enforce a strict URL allowlist blocking file:, data:, loopback, RFC1918, and metadata addresses.",,8.6,"T1190, T1185",no
Unauthenticated ChromaDB Allows RAG Collection Read/Write Poisoning,critical,ChromaDB 0.5.18 HTTP API:8001,"Remove public exposure of ChromaDB, require token authentication, and isolate it on an internal network with least-privilege write access.",,9.1,"T1190, T1565.001, T1530",no
JWT alg=none authentication bypass permits forged admin tokens,critical,OWASP Juice Shop Express API:3000,"Configure JWT verification with a strict algorithm allowlist, reject alg=none, and add regression tests proving unsigned tokens are denied.",,9.8,"T1190, T1550.001",no
JWT RS256-to-HS256 algorithm confusion using exposed RSA public key,critical,OWASP Juice Shop Express API:3000,"Pin accepted JWT algorithms to RS256 only, ensure HMAC algorithms are disabled for RSA-backed tokens, and keep verification keys out of web-accessible directories.",,9.8,"T1190, T1550.001",no
Broken Object-Level Authorization Allows Cross-Account User Record Reads,high,OWASP Juice Shop / Node.js Express REST API:3000,Apply per-object authorization so users can access only their own record unless explicitly authorized as an administrator.,,8.1,"T1190, T1087",no
Authenticated Password Change Does Not Verify Current Password,high,OWASP Juice Shop 20.0.0 / Password change API:3000,Require the verified current password before changing credentials and use a single unambiguous currentPassword parameter.,,8.1,"T1098, T1550.001",no
Customer Role Can Access Bulk User and Authentication Detail APIs,high,OWASP Juice Shop 20.0.0 / User and authentication-details APIs:3000,Enforce role-based authorization on bulk account endpoints and redact sensitive account fields from API responses.,,8.6,"T1087, T1552",no
Basket Object IDOR/BOLA Allows Cross-Account Basket Reads,high,OWASP Juice Shop 20.0.0 / Basket API:3000,"Authorize basket access by comparing the requested basket owner to the authenticated user, except for explicitly privileged admin workflows.",,8.1,"T1190, T1087",no
Unauthenticated ChromaDB 0.5.18 Allows Collection Enumeration and Document Write/Read,critical,ChromaDB 0.5.18 / uvicorn API:8001,"Restrict ChromaDB to trusted backend networks, add authentication/authorization at a proxy or gateway, and audit/clean poisoned collections.",,9.1,"T1190, T1602, T1565.001",no
"JWT Payload Discloses Password Hash, deluxeToken, and TOTP Secret Field",high,OWASP Juice Shop 20.0.0 / JWT session management:3000,Minimize JWT claims to non-sensitive identity/authorization attributes and rotate any secrets exposed in issued tokens.,,8.1,"T1552.001, T1528",no
FTP Extension Filter Bypass Exposes Backup and Bytecode Artifacts,high,OWASP Juice Shop 20.0.0 / FTP static file area:3000,"Normalize and validate paths after full URL decoding, disable directory indexing, and remove backup/bytecode/secret artifacts from public file roots.",,8.0,"T1552.001, T1592.002",no
JWT not-before claim ignored for otherwise valid forged tokens,medium,OWASP Juice Shop / Node.js JWT auth on 10.10.0.20:3000,Pin JWT algorithms and ensure the verifier enforces nbf and exp claims; reject tokens that are not yet active.,,6.5,T1550.001,no
Low-Privileged Users Can Retrieve All Users' Authentication Metadata,high,OWASP Juice Shop v14.5.1 authentication-details API:3000,Require admin authorization for all-user authentication metadata and remove secrets/totp/internal URL fields from nonessential responses.,,8.1,"T1190, T1552",no
Unauthenticated Registration Mass Assignment to Administrator,critical,OWASP Juice Shop 20.0.0 user registration API:3000,Use a strict allowlist for registration fields and force role=customer server-side for self-service account creation.,,9.8,"T1190, T1078",no
Sensitive Account Data Embedded in Client-Readable JWT Claims,high,OWASP Juice Shop 20.0.0 JWT session handling:3000,"Issue JWTs with minimal claims only; never embed password hashes, secrets, or full user records in bearer tokens.",,7.5,"T1528, T1552",no
JWT nbf claim is ignored on protected API authorization,medium,OWASP Juice Shop / Node.js JWT authorization:3000,"Configure JWT verification to enforce nbf and exp, reject tokens that are not yet valid, and keep algorithm pinning to RS256.",,6.5,"T1528, T1606",no
JWT Sessions Not Revoked After Password Change,medium,OWASP Juice Shop v14.5.1 JWT session handling:3000,Invalidate existing JWTs on password change by enforcing token version/passwordChangedAt checks and issuing short-lived tokens.,,6.5,"T1528, T1550",no
Unauthenticated chromium_renderer URL rendering enables internal network SSRF pivot,critical,genesis-chromium_renderer HTTP service:3301,"Require authentication, enforce strict destination allowlists, block RFC1918/link-local egress from the renderer, and return minimal metadata only.",,9.1,"T1190, T1090",no
Unauthenticated User Registration Mass-Assignment Grants Administrator Role,critical,OWASP Juice Shop / Node.js Express user API:3000,Use server-side field allow-lists for registration and assign the default customer role regardless of client input.,,9.8,"T1190, T1068",no
Unauthenticated Registration Mass Assignment Creates Administrator Accounts,critical,OWASP Juice Shop on 10.10.0.20:3000,Use server-side field allowlists on registration and assign role exclusively on the server.,,9.8,"T1190, T1068",no
Authenticated Password Change Does Not Verify Current Password,high,OWASP Juice Shop on 10.10.0.20:3000,Require and verify the current password using a constant-time password hash comparison before updating credentials.,,8.1,"T1078, T1098",no
User Profile BOLA Allows Low-Privileged Read of Administrator Profile,high,OWASP Juice Shop on 10.10.0.20:3000,Enforce object-level authorization on every /api/Users/{id} request; customers may access only their own user object.,,8.1,"T1190, T1087",no
Exposed premium.key Enables Deluxe Membership Token Replay,high,OWASP Juice Shop on 10.10.0.20:3000,Remove secret keys from web-accessible paths and verify membership upgrades through a server-side payment provider.,,8.2,"T1552.001, T1098",no
XML External Entity Expansion in File Upload Reads Local Files,high,OWASP Juice Shop on 10.10.0.20:3000,"Disable DTD/external entity resolution for XML parsers, block file/network entity access, and avoid reflecting parsed XML in errors.",,8.6,"T1190, T1005",no
FTP Poison-Null-Byte Bypass Exposes Backup package.json,medium,OWASP Juice Shop on 10.10.0.20:3000,"Reject null-byte encodings, canonicalize paths before authorization, and serve only explicit allowlisted public files.",,6.5,"T1083, T1552.001",no
Boolean-Blind SQL Injection Extracts TOTP Secret from Product Search,critical,OWASP Juice Shop on 10.10.0.20:3000,Parameterize product search queries and segregate database privileges so product search cannot read user authentication secrets.,,9.1,"T1190, T1552.001",no
Unauthenticated Security Question Endpoint Enables Account Enumeration and Recovery Hint Disclosure,medium,OWASP Juice Shop on 10.10.0.20:3000,"Return indistinguishable responses for existing/nonexistent accounts, rate limit recovery probes, and reveal recovery questions only after stronger verification.",,5.3,T1087,no
Server-Issued JWTs Leak Sensitive Account Fields and Omit Expiration,high,OWASP Juice Shop on 10.10.0.20:3000,"Issue minimal JWT claims, remove secrets/hashes from token payloads, add short expiration, and rotate signing keys/tokens after fixing.",,8.4,"T1552.001, T1528",no
Unauthenticated ChromaDB collection read on internal host,high,ChromaDB/Uvicorn HTTP API on 10.10.0.1,Require authentication/authorization for ChromaDB and restrict tcp/8001 to trusted application hosts only.,,8.1,"T1213, T1552.001",no
Unauthenticated Mass Assignment Creates Administrator Accounts,critical,OWASP Juice Shop user registration API on 10.10.0.20:3000,Use a registration-field allow-list and assign role server-side; reject or ignore privilege fields in client JSON.,,9.8,"T1190, T1068",no
Product Search SQL Injection Enables Boolean-Blind TOTP Secret Extraction,critical,OWASP Juice Shop product search on 10.10.0.20:3000,"Parameterize search queries, escape LIKE metacharacters, and deny database error disclosure; rotate exposed TOTP secrets.",,9.1,"T1190, T1110",no
Password Change Endpoint Does Not Verify Current Password,high,OWASP Juice Shop password-change API on 10.10.0.20:3000,Require and verify the current password server-side before updating credentials; invalidate outstanding JWTs after password change.,,8.1,"T1098, T1550",no
Basket Object-Level Authorization Bypass Allows Cross-Account Basket Reads,high,OWASP Juice Shop basket API on 10.10.0.20:3000,Enforce per-object ownership checks on basket reads and use opaque identifiers where possible.,,7.5,"T1190, T1530",no
Low-Privilege Customer Can Read Bulk User and Authentication Details,high,OWASP Juice Shop user/authentication APIs on 10.10.0.20:3000,"Restrict bulk user/admin endpoints to administrators only and redact password hashes, TOTP secrets, deluxe tokens, and internal profile metadata.",,8.6,"T1190, T1530",no
Exposed Premium Key Enables Replayable Deluxe Membership Upgrade,medium,OWASP Juice Shop premium/deluxe membership flow on 10.10.0.20:3000,Remove public access to premium.key and validate membership purchases against a payment provider with non-replayable transaction IDs.,,6.5,T1190,no
Authenticated XXE in File Upload Discloses Local Server Files,high,OWASP Juice Shop file upload XML parser on 10.10.0.20:3000,"Disable XML external entity processing and DTD loading, reject DOCTYPE declarations, and remove deprecated upload handlers.",,8.1,"T1190, T1005",no
Authentication bypass SQL injection in login,critical,OWASP Juice Shop HTTP API:3000,Replace string-built SQL with parameterized ORM queries/prepared statements and validate credentials after fetching by exact email.,,9.8,"T1190, T1078",no
Server-issued JWTs disclose password hash/TOTP/deluxe token and lack expiration,high,OWASP Juice Shop JWT authentication:3000,Only include minimal non-sensitive claims in JWTs and enforce short expiration with refresh-token rotation.,,8.1,"T1552, T1528",no
Unauthenticated cryptographic key directory listing,medium,OWASP Juice Shop static file server:3000,"Remove key directories from the web root, disable directory indexing, and rotate exposed keys/secrets.",,6.5,"T1552.001, T1190",no
JWT RS256-to-HS256 public-key confusion grants admin access,critical,OWASP Juice Shop JWT authentication:3000,"Pin the accepted JWT algorithm to RS256, never use asymmetric public keys as HMAC secrets, and rotate exposed signing material.",,9.8,"T1606, T1552.001",no
Unsigned alg=none JWT accepted for admin API access,critical,OWASP Juice Shop JWT authentication:3000,Reject alg=none tokens and explicitly allow only the expected signed algorithm in JWT verification.,,9.8,"T1606, T1078",no
Unauthenticated registration mass assignment creates admin accounts,critical,OWASP Juice Shop user registration API:3000,Use server-side allowlists for mass-assignable registration fields and set role exclusively on the server.,,9.1,"T1190, T1136.001",no
Broken function-level authorization exposes all users and authentication details to customers,high,OWASP Juice Shop user/admin APIs:3000,Enforce role-based access control on administrative endpoints and redact sensitive fields from responses.,,8.6,"T1190, T1087",no
Basket IDOR allows cross-account basket reads,medium,OWASP Juice Shop basket API:3000,Check object ownership on every basket read/write and return 403 for cross-account IDs.,,6.5,T1190,no
Boolean-blind SQL injection in product search leaks TOTP secrets,critical,OWASP Juice Shop product search API:3000,Parameterize product search queries and block stacked/subquery operators at the query builder layer only as defense in depth.,,9.1,"T1190, T1552",no
Downloadable Weak RSA Encryption Bytecode Enables Encrypted Announcement Recovery,medium,OWASP Juice Shop FTP artifacts on 10.10.0.20:3000,"Remove bytecode/key material from public FTP, rotate any related secrets, and replace deterministic textbook RSA with modern authenticated encryption or RSA-OAEP for small secrets.",,6.5,"T1552.001, T1140",no
Verbose B2B Parser Error Leaks Filesystem Paths and Dependency Internals,low,OWASP Juice Shop B2B API on 10.10.0.20:3000,"Disable development errorhandler in production, return generic errors, and validate B2B request data before parser/evaluator invocation.",,3.7,T1592,no
Unauthenticated Chromium renderer enables browser-based SSRF/pivoting,high,chromium_renderer HTTP service:3301,"Require authentication for /render, enforce strict URL allowlists, and firewall renderer egress to internal/RFC1918 and metadata services.",,8.6,"T1190, T1090, T1552",no
Password Change Does Not Require Current Password Verification,high,OWASP Juice Shop / Node.js Express password API:3000,Require the correct current password or a completed step-up authentication challenge before changing account passwords.,,8.1,"T1098, T1550",no
Textbook per-character RSA encryption allows recovery of encrypted announcement,medium,OWASP Juice Shop static FTP artefacts:3000,"Replace custom textbook RSA with modern authenticated encryption, rotate exposed materials, and remove bytecode/encryption artefacts from public web directories.",,5.3,"T1552.001, T1027",no
Non-Admin Users Can Enumerate Full User Collection,high,OWASP Juice Shop / Node.js Express REST API:3000,Restrict collection-level user enumeration to admin roles and expose only a /me endpoint for ordinary users.,,8.1,"T1087, T1190",no
Exposed JWT key and vulnerable jsonwebtoken stack allow forged admin tokens,critical,OWASP Juice Shop 6.2.0-SNAPSHOT / express-jwt 0.1.3 with nested jsonwebtoken 0.1.0,"Upgrade JWT libraries, explicitly pin accepted algorithms to RS256, reject alg=none/HS*, rotate keys, and remove /encryptionkeys from public web access.",,9.8,CVE-2015-9235,no
Unauthenticated ChromaDB write enables RAG/data poisoning,high,ChromaDB/Uvicorn HTTP API on 10.10.0.1,Require authentication and network allow-listing for ChromaDB; audit/remove unauthorized canary/test documents and rotate any data consumed from poisoned collections.,,8.6,"T1565.001, T1213",no
